Tracking Domain,Old Consent Category,New Consent Category,Vendor Name,Tracker Type,Tracker Name,Tracker Purpose,Tracker Purpose (Source),Vendor Description,Tracker Duration
platform-eu.cloud.coveo.com,Functional Cookies,Performance Cookies [Requires consent],Coveo Solutions Inc.,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc,"Coveo personalizes every digital experience for customers, partners, dealers, and employees. Coveo combines unified search, analytics and machine learning to deliver relevant information and recommendations across every business interaction, making websites, ecommerce, contact centers and intranets effortless and efficient.",
s.go-mpulse.net,Functional Cookies,Performance Cookies [Requires consent],Akamai,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Akamai is a provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.
<br><a href=https://www.akamai.com/us/en/privacy-policies/portal-terms.jsp target=_blank aria-label=""Akamai Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.akamai.com/content/dam/site/en/documents/akamai/akamai-privacy-statement.pdf target=_blank aria-label=""Akamai Data Subject Rights"">Data Subject Rights</a>
<br>",
static.iadvize.com,Functional Cookies,Performance Cookies [Requires consent],iAdvize,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"iAdvize is a conversational marketing platform that connects customers in need of advice with experts who are available 24/7 via messaging.
<br><a href=https://www.iadvize.com/en/terms-and-conditions/ target=_blank aria-label=""iAdvize Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://privacy.iadvize.com/en/ target=_blank aria-label=ï¿½iAdvize Data Subject Rights"">Data Subject Rights</a>
<br>",
www.air-product-selector.CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,HTTP Cookie,AWSALBCORS,"Registers which server-cluster is serving the visitor. This is used in context with load balancing, in order to optimize user experience.",TrustArc ,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",6
www.author.CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,HTTP Cookie,AWSELBCORS,"Registers which server-cluster is serving the visitor. This is used in context with load balancing, in order to optimize user experience.",TrustArc ,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",0
www.usa.CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",
cdn.orbita.cloud,Functional Cookies,Performance Cookies [Requires consent],Orbita,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Orbita provides software to improve patient engagement in digital healthcare through voice-first and conversational AI solutions.
<br><a href=https://orbita.ai/terms-of-use/ target=_blank aria-label=""Orbita Terms and Conditions"">Terms and Conditions</a>
<br>",
cdn.orbita.cloud,Functional Cookies,Performance Cookies [Requires consent],Orbita,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Orbita provides software to improve patient engagement in digital healthcare through voice-first and conversational AI solutions.
<br><a href=https://orbita.ai/terms-of-use/ target=_blank aria-label=""Orbita Terms and Conditions"">Terms and Conditions</a>
<br>",
CLIENT_X-dmec.eu.orbita.cloud,Functional Cookies,Performance Cookies [Requires consent],Orbita,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Orbita provides software to improve patient engagement in digital healthcare through voice-first and conversational AI solutions.
<br><a href=https://orbita.ai/terms-of-use/ target=_blank aria-label=""Orbita Terms and Conditions"">Terms and Conditions</a>
<br>",
CLIENT_X-dmec.eu.orbita.cloud,Functional Cookies,Performance Cookies [Requires consent],Orbita,HTTP Cookie,AWSALBCORS,"For continued stickiness support with CORS use cases after the Chromium update, we are creating additional stickiness cookies for each of these duration-based stickiness features named AWSALBCORS (ALB).",TrustArc ,"Orbita provides software to improve patient engagement in digital healthcare through voice-first and conversational AI solutions.
<br><a href=https://orbita.ai/terms-of-use/ target=_blank aria-label=""Orbita Terms and Conditions"">Terms and Conditions</a>
<br>",6
search-eu.cloud.coveo.com,Functional Cookies,Performance Cookies [Requires consent],Coveo Solutions Inc.,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc,"Coveo personalizes every digital experience for customers, partners, dealers, and employees. Coveo combines unified search, analytics and machine learning to deliver relevant information and recommendations across every business interaction, making websites, ecommerce, contact centers and intranets effortless and efficient.",
connect.facebook.net,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Meta (formerly Facebook),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.
<br><a href=https://www.facebook.com/legal/terms target=_blank aria-label=""Meta (formerly Facebook) Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.facebook.com/about/privacy/update target=_blank aria-label=""Meta (formerly Facebook) Data Subject Rights"">Data Subject Rights<a>
<br>",
api.bazaarvoice.com,Functional Cookies,Performance Cookies [Requires consent],"Bazaarvoice, Inc.",JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," Provides user-generated content solutions, including reviews and ratings for online retailers.",
calculator.inbank.ee,Functional Cookies,Performance Cookies [Requires consent],Inbank,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A financial institution offering banking services (specific branch not clear).,
calculator.inbank.ee,Functional Cookies,Performance Cookies [Requires consent],Inbank,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A financial institution offering banking services (specific branch not clear).,
contentorigin.bazaarvoice.com,Functional Cookies,Performance Cookies [Requires consent],"Bazaarvoice, Inc.",ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," Provides user-generated content solutions, including reviews and ratings for online retailers.",
pixel.wp.com,Functional Cookies,Performance Cookies [Requires consent],WordPress,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc, An open-source content management system used for creating websites and blogs.,
static.maksekeskus.ee,Functional Cookies,Performance Cookies [Requires consent],Maksekeskus AS,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, An Estonian payment service provider.,
static.xx.fbcdn.net,Functional Cookies,Performance Cookies [Requires consent],Meta (formerly Facebook),JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.
<br><a href=https://www.facebook.com/legal/terms target=_blank aria-label=""Meta (formerly Facebook) Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.facebook.com/about/privacy/update target=_blank aria-label=""Meta (formerly Facebook) Data Subject Rights"">Data Subject Rights<a>
<br>",
stats.wp.com,Functional Cookies,Performance Cookies [Requires consent],WordPress,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, An open-source content management system used for creating websites and blogs.,
